title,base_price,os_support,discount,release,genres,dlc,developer,publisher,features,total_review,storage,metacritic,sum_rating
Necromunda: Underhive Wars,0,win,-85%,"7 Sep, 2020","Action, Strategy",no,Rogue Factor,Focus Entertainment,"Single-player, Online PvP, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud",2367,40.0,,Mixed
Cosmoteer: Starship Architect & Commander,149999,win,,"24 Oct, 2022","Simulation, Strategy, Early Access",no,Walternate Realities,Walternate Realities,"Single-player, Online PvP, LAN PvP, Online Co-op, LAN Co-op, Steam Workshop, Steam Cloud",6335,2.0,,Very Positive
BLACKTAIL,0,win,-40%,"15 Dec, 2022","Action, Adventure, RPG",no,THE PARASIGHT,Focus Entertainment,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud",783,20.0,80,Very Positive
The Wandering Village,119999,"win, mac, linux",,"14 Sep, 2022","Simulation, Strategy, Early Access",no,Stray Fawn Studio,WhisperGames,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud",3169,2.0,,Very Positive
Ultimate Admiral: Dreadnoughts,284999,win,,"25 Jan, 2023","Indie, RPG, Simulation, Strategy",no,Game-Labs,Game-Labs,Single-player,2975,8.0,,Mixed
Counter-Strike,69999,"win, mac, linux",,"1 Nov, 2000",Action,no,Valve,Valve,"Online PvP, Shared/Split Screen PvP, Valve Anti-Cheat enabled",135596,,88,Overwhelmingly Positive
DYNASTY WARRIORS 9 Empires,829000,win,,"22 Dec, 2021","Action, Simulation, Strategy",no,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud",1281,50.0,,Mixed
Naval Action,0,win,,"13 Jun, 2019","Action, Adventure, Free to Play, Indie, Massively Multiplayer, RPG, Simulation, Strategy",no,Game-Labs,Game-Labs,"MMO, Online PvP, Online Co-op",11110,2.0,,Mixed
The Surge,0,win,-80%,"15 May, 2017","Action, RPG",no,Deck13,Focus Entertainment,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV",6265,15.0,72,Mostly Positive
Midnight Ghost Hunt,0,win,-66%,"31 Mar, 2022","Action, Indie, Early Access",no,Vaulted Sky Games,Coffee Stain Publishing,"Online PvP, Steam Achievements, Partial Controller Support",4331,,,Mostly Positive
