title,base_price,os_support,discount,release,genres,dlc,developer,publisher,features,total_review,storage,metacritic,sum_rating
WARRIORS OROCHI 4,871000,mac,,"15 Oct, 2018",Early Access,no,THE BROTHERHOOD,"KOEI TECMO GAMES CO., LTD.",Steam Cloud,3795,25.0,,Very Positive
"Star Wars: Battlefront 2 (Classic, 2005)",69999,win,,"8 Jul, 2009",Strategy,no,Ravenhood Games,Disney,Remote Play on Phone,42530,,78,Very Positive
Baba Is You,95999,win,,"13 Mar, 2019",Indie,no,Crate Entertainment,Hempuli Oy,Remote Play on Tablet,15316,0.2,87,Overwhelmingly Positive
American Truck Simulator - Colorado,99900,win,,"12 Nov, 2020",Simulation,yes,Paradox Development Studio,SCS Software,Remote Play on TV,605,0.19,,Very Positive
Cities: Skylines - Content Creator Pack: Map Pack 2,59999,win,,"13 Dec, 2022",Action,yes,"GIBBING TREE, LLC",Paradox Interactive,Single-player,33,4.0,,Mostly Positive
Surgeon Simulator 2,0,win,-60%,"2 Sep, 2021",Simulation,no,Red Hook Studios,Surgeon Simulator,MMO,860,10.0,,Mixed
Cities: Skylines - Campus,114999,win,,"21 May, 2019",Strategy,yes,Kunos Simulazioni,Paradox Interactive,Online PvP,238,4.0,,Mostly Positive
Them and Us,0,win,-50%,"28 Sep, 2021",Free to Play,no,R-Age,"TendoGames Co., Ltd. ",Online Co-op,741,40.0,,Very Positive
Phoenix Wright: Ace Attorney Trilogy,239999,win,,"9 Apr, 2019",Massively Multiplayer,no,"KOEI TECMO GAMES CO., LTD.","CAPCOM Co., Ltd.",Downloadable Content,15999,1.8,80,Overwhelmingly Positive
Bloons TD Battles 2,0,win,,"30 Nov, 2021",Strategy,no,Pandemic Studios,Ninja Kiwi,Steam Achievements,24605,1.536,,Very Positive
LIVE A LIVE,649000,mac,,"27 Apr, 2023",Indie,no,Hempuli Oy,historia Inc.,Steam Trading Cards,167,8.0,,Very Positive
Cat Goes Fishing,59999,win,,"19 Jan, 2015",Racing,no,SCS Software,Simulation,Stats,7900,0.015,,Very Positive
DJMAX RESPECT V - Welcome to the Space GEAR PACK,0,win,-80%,"13 Apr, 2020",Simulation,yes,Sidai,NEOWIZ,Single-player,57,10.0,,Very Positive
